version	Embedding	Encoder	FC	Final Scaling
v11	Add all	Full Attention	Use BatchNorm + No Sigmoid	X
v12	Concat and add PE	Full Attention	Use BatchNorm + No Sigmoid	X
v13	Add all	Full Attention	No BatchNorm + No Sigmoid	X
v14	Add all	Full Attention	No BatchNorm + Use Sigmoid	X
v15	Add all	Full Attention	Use SyncBatchNorm + No Sigmoid	X
v16	Add all	Full Attention	Use SyncBatchNorm + Use Sigmoid	V
v17	Add all	Full Attention	Use SyncBatchNorm + No Sigmoid	V
v47	No Target mask. Average all. From v19. Use overlap.
v48	Use move, bq, and cross attention (v35). No overlap.
v49	Use Single nucleotide and position embedding. No overlap.
